DSSS_TIME (Time)," DSSS_TAU (Shear_Stress, kPa)"," DSSS_SIGV (Normal_Stress, kPa)"," DSSS_YHV (Shear_Strain, %)"," DSSS_EPSV (Vertical_Strain, %)"
282.08,8.8,12,1.504,0.003
282.179,9.1,12.1,1.546,0.003
282.279,9.1,12.3,1.574,0.003
282.379,9.3,12.2,1.595,0
282.478,9.4,12.3,1.613,0.003
282.578,9.4,12.3,1.63,0.003
282.678,9.4,12.4,1.637,0.014
282.777,9.3,12.4,1.651,0.003
282.877,9.2,12.3,1.655,0
282.977,9.1,12.4,1.658,0
283.077,9,12.3,1.658,0
283.176,8.8,12.4,1.658,0.003
283.276,8.5,12.2,1.658,0
283.376,8.2,12.3,1.658,0
283.475,7.9,12.2,1.648,0
283.575,7.6,12.2,1.648,0
283.675,7.3,12.1,1.644,0.014
283.774,6.9,12,1.637,0
283.874,6.5,12,1.627,0
283.974,6.2,11.9,1.616,0.003
284.073,5.6,11.9,1.602,0.003
284.173,5.2,11.7,1.588,0.003
284.273,4.7,11.6,1.574,0
284.372,4.2,11.4,1.553,0
284.472,3.7,11.3,1.532,0
284.572,3.2,11.2,1.507,0.003
284.671,2.7,11,1.483,0.003
284.771,2.2,10.9,1.447,0.003
284.871,1.7,10.6,1.419,0.003
284.97,1.2,10.6,1.381,0.003
285.07,0.6,10.5,1.353,0
285.17,0.1,10.3,1.303,0
285.269,-0.4,10.2,1.261,0.003
285.369,-0.9,9.9,1.209,0.003
285.469,-1.3,9.7,1.159,0.003
285.568,-1.8,9.6,1.103,0
285.668,-2.2,9.5,1.047,0.003
285.768,-2.7,9.3,0.98,0.007
285.867,-3.2,9.2,0.913,0.007
285.967,-3.6,9.2,0.836,0.003
286.067,-4.1,9.1,0.752,0.003
286.166,-4.6,9.2,0.657,0
286.266,-5.1,9.2,0.545,0.007
286.366,-5.7,9.2,0.418,0.007
286.465,-6.3,9.3,0.288,0.007
286.565,-6.7,9.5,0.158,0.003
286.665,-7.2,9.6,0.046,0.007
286.764,-7.7,10,-0.053,0.017
286.864,-8.1,10,-0.126,0.007
286.964,-8.6,10.2,-0.186,0.003
287.064,-8.8,10.4,-0.235,0.003
287.163,-9.1,10.3,-0.271,0.003
287.263,-9.2,10.4,-0.306,0.003
287.363,-9.3,10.5,-0.327,0.007
287.462,-9.5,10.6,-0.351,0.003
287.562,-9.5,10.6,-0.358,0.007
287.662,-9.5,10.6,-0.369,0.003
287.761,-9.4,10.7,-0.372,0.014
287.861,-9.4,10.6,-0.379,0
287.961,-9.2,10.7,-0.379,0.007
288.06,-9.1,10.6,-0.379,0.003
288.16,-8.9,10.6,-0.376,0.003
288.26,-8.6,10.6,-0.372,0.007
288.359,-8.4,10.4,-0.372,0
288.459,-8,10.6,-0.369,0.003
288.559,-7.7,10.5,-0.362,0.003
288.658,-7.3,10.5,-0.355,0.003
288.758,-6.9,10.5,-0.348,0.017
288.858,-6.5,10.4,-0.341,0
288.957,-6,10.4,-0.33,0.003
289.057,-5.7,10.2,-0.316,0.003
289.157,-5.1,10.2,-0.295,0.003
289.256,-4.7,10.1,-0.281,0.007
289.356,-4.2,10.1,-0.26,0.003
289.456,-3.9,9.9,-0.239,0.003
289.555,-3.3,9.8,-0.214,0.003
289.655,-2.7,9.8,-0.183,0
289.755,-2.2,9.7,-0.155,0.007
289.854,-1.7,9.6,-0.116,0.003
289.954,-1.3,9.5,-0.077,0.003
290.054,-0.7,9.3,-0.035,0.003
290.153,-0.3,9.3,0.007,0.003
290.253,0.2,9.2,0.053,0.003
290.353,0.6,9,0.109,0.003
290.452,1.1,9,0.169,0.003
290.552,1.6,9.1,0.228,0.007
290.652,2.1,9,0.295,0.007
290.751,2.6,9.1,0.365,0.003
290.851,3,9.1,0.436,0.003
290.951,3.5,9.2,0.523,0.007
291.05,4,9.3,0.618,0.007
291.15,4.5,9.5,0.717,0.003
291.25,5.2,9.7,0.822,0.003
291.35,5.7,9.9,0.934,0.007
291.449,6.3,10.3,1.054,0.003
291.549,6.8,10.4,1.159,0.003
291.649,7.3,10.8,1.261,0.003
291.748,7.7,11.1,1.346,0
291.848,8.2,11.4,1.416,0.01
291.948,8.5,11.5,1.476,0
292.047,8.8,11.7,1.525,0
292.147,8.9,11.9,1.57,0.003
292.247,9.2,11.9,1.598,0.003
292.346,9.3,12.1,1.623,0
292.446,9.4,12.1,1.641,0
292.546,9.4,12.2,1.655,0
292.645,9.4,12.2,1.676,0
292.745,9.4,12.3,1.683,0
292.845,9.4,12.2,1.686,0.017
292.944,9.1,12.2,1.69,0
293.044,9.1,12.2,1.693,0
293.144,8.8,12.1,1.693,0
293.243,8.7,12.2,1.69,0
293.343,8.3,12,1.69,0.003
293.443,8.1,12,1.686,0
293.542,7.7,12,1.683,0
293.642,7.3,11.9,1.676,0
293.742,7,12,1.672,0
293.841,6.6,11.8,1.662,0.01
293.941,6.2,11.8,1.655,0
294.041,5.7,11.6,1.637,0
294.14,5.3,11.5,1.627,0
294.24,4.7,11.3,1.609,0
294.34,4.3,11.4,1.595,0.003
294.439,3.8,11.2,1.577,0
294.539,3.4,11,1.549,0.003
294.639,2.9,10.9,1.525,0
294.738,2.3,10.7,1.497,0.003
294.838,1.8,10.7,1.465,0.01
294.938,1.3,10.4,1.43,0
295.037,0.8,10.2,1.388,0.003
295.137,0.3,10.1,1.356,0
295.237,-0.2,9.8,1.31,0
295.337,-0.6,9.8,1.268,0.003
295.436,-1.2,9.5,1.212,0.003
295.536,-1.5,9.5,1.156,0.003
295.636,-2.1,9.3,1.096,0.007
295.735,-2.5,9.2,1.033,0.003
295.835,-3,9.1,0.963,0.01
295.935,-3.5,8.9,0.885,0.007
296.034,-3.9,9,0.805,0.003
296.134,-4.5,8.9,0.71,0.007
296.234,-4.9,8.9,0.608,0.003
296.333,-5.6,8.9,0.481,0.007
296.433,-6,9,0.344,0.003
296.533,-6.6,9.2,0.207,0.003
296.632,-7.1,9.5,0.091,0.007
296.732,-7.6,9.6,-0.014,0.003
296.832,-8,9.7,-0.098,0.007
296.931,-8.4,9.9,-0.169,0.003
297.031,-8.7,10.1,-0.218,0.01
297.131,-9,10.1,-0.263,0.003
297.23,-9.2,10.2,-0.299,0.007
297.33,-9.4,10.2,-0.32,0.003
297.43,-9.4,10.3,-0.337,0.007
297.529,-9.5,10.3,-0.355,0.003
297.629,-9.5,10.4,-0.369,0.003
297.729,-9.5,10.3,-0.376,0.003
297.828,-9.2,10.4,-0.379,0
297.928,-9.3,10.5,-0.379,0.014
298.028,-9.2,10.3,-0.386,0
298.127,-8.9,10.4,-0.383,0.003
298.227,-8.6,10.4,-0.383,0.003
298.327,-8.4,10.4,-0.379,0.003
298.426,-8.1,10.3,-0.379,0.003
298.526,-7.8,10.4,-0.369,0.003
298.626,-7.4,10.3,-0.365,0.007
298.725,-7.2,10.2,-0.358,0
298.825,-6.7,10.2,-0.351,0.003
298.925,-6.3,10.1,-0.337,0.017
299.024,-5.8,10.1,-0.323,0.003
299.124,-5.4,10,-0.309,0.003
299.224,-5,9.9,-0.295,0.003
299.323,-4.3,9.9,-0.271,0.003
299.423,-4,9.7,-0.249,0
299.523,-3.3,9.7,-0.225,0.003
299.623,-2.9,9.5,-0.197,0
299.722,-2.4,9.4,-0.165,0.007
299.822,-1.9,9.3,-0.13,0.003
299.922,-1.4,9.3,-0.091,0.021
300.021,-0.9,9.1,-0.053,0.003
300.121,-0.4,9,-0.007,0.007
300.221,0.1,8.9,0.035,0.003
300.32,0.5,8.9,0.095,0.007
300.42,1.1,8.9,0.148,0.007
300.52,1.5,8.8,0.207,0.007
300.619,2,8.8,0.271,0.007
300.719,2.4,8.9,0.337,0.003
300.819,2.9,8.9,0.415,0.003
300.918,3.3,9,0.499,0.017
301.018,3.8,9,0.59,0.003
301.118,4.4,9.3,0.689,0.003
301.217,4.9,9.5,0.79,0.007
301.317,5.5,9.7,0.906,0.01
301.417,6.1,9.9,1.029,0.007
301.516,6.6,10.1,1.138,0
301.616,7.1,10.6,1.247,0.003
301.716,7.6,10.8,1.346,0.003
301.815,8,11.1,1.419,0.007
301.915,8.3,11.4,1.486,0.003
302.015,8.6,11.4,1.542,0
302.114,8.8,11.6,1.584,0.003
302.214,9.1,11.7,1.616,0.003
302.314,9.3,11.9,1.648,0.003
302.413,9.4,12,1.672,0
302.513,9.4,11.9,1.69,0
302.613,9.4,12,1.704,0
302.712,9.3,12,1.714,-0.003
302.812,9.3,12,1.725,0.003
302.912,9.3,12,1.725,0
303.011,9.1,12.1,1.728,0.007
303.111,8.8,11.9,1.728,0
303.211,8.8,12,1.728,0
303.31,8.5,11.8,1.728,0
303.41,8.1,11.9,1.725,0
303.51,7.9,11.9,1.721,0
303.61,7.6,11.8,1.714,0.003
303.709,7.3,11.8,1.707,0.003
303.809,6.8,11.6,1.697,0.003
303.909,6.3,11.6,1.693,0
304.008,5.9,11.5,1.679,0.017
304.108,5.5,11.4,1.669,0.003
304.208,5,11.3,1.648,0
304.307,4.5,11.1,1.637,0
304.407,4.1,11.1,1.613,-0.003
304.507,3.5,10.8,1.591,0.003
304.606,2.9,10.8,1.567,0
304.706,2.6,10.5,1.539,0.003
304.806,2,10.4,1.511,0.003
304.905,1.5,10.3,1.479,0
305.005,1,10.1,1.437,0.014
305.105,0.5,10,1.402,0.003
305.204,-0.1,9.7,1.363,0.003
305.304,-0.4,9.5,1.314,0.007
305.404,-0.9,9.4,1.261,0.003
305.503,-1.4,9.3,1.209,0
305.603,-1.9,9.1,1.152,0.003
305.703,-2.3,9,1.089,0.007
305.802,-2.7,9,1.019,0.003
305.902,-3.3,8.8,0.942,0.003
306.002,-3.8,8.8,0.861,0.017
306.101,-4.3,8.7,0.769,0.003
306.201,-4.8,8.7,0.671,0.003
306.301,-5.4,8.7,0.548,0.007
306.4,-5.8,8.9,0.415,0.003
306.5,-6.5,9,0.278,0.007
306.6,-6.9,9.1,0.151,0.003
306.699,-7.4,9.3,0.035,0.003
306.799,-7.9,9.4,-0.06,0.01
306.899,-8.3,9.6,-0.137,0.003
306.998,-8.5,9.8,-0.197,0.01
307.098,-8.9,9.9,-0.249,0.003
307.198,-9.1,10,-0.285,0.007
307.297,-9.3,10,-0.32,0.003
307.397,-9.4,10.1,-0.341,0.007
307.497,-9.5,10.1,-0.355,0.003
307.596,-9.5,10.2,-0.369,0.007
307.696,-9.5,10.1,-0.379,0.003
307.796,-9.4,10.2,-0.383,0.003
307.896,-9.4,10.1,-0.386,0.003
307.995,-9.2,10.2,-0.386,0.007
308.095,-9,10.2,-0.386,0.003
308.195,-8.8,10.1,-0.386,0.003
308.294,-8.5,10.1,-0.383,0.003
308.394,-8.3,10.2,-0.383,0.007
308.494,-8,10.1,-0.372,0.007
308.593,-7.6,10,-0.372,0.007
308.693,-7.2,10,-0.365,0.003
308.793,-6.8,10,-0.355,0.003
308.892,-6.3,9.9,-0.344,0.003
308.992,-5.9,9.9,-0.334,0.007
309.092,-5.5,9.8,-0.32,0.003
309.191,-5,9.8,-0.302,0.007
309.291,-4.5,9.7,-0.285,0.003
309.391,-4.1,9.6,-0.263,0.003
309.49,-3.6,9.5,-0.235,0.003
309.59,-3.1,9.4,-0.214,0.003
309.69,-2.5,9.3,-0.179,0.003
309.789,-2.1,9.2,-0.151,0.003
309.889,-1.5,9.1,-0.109,0.007
309.989,-1.2,9,-0.077,0.003
310.088,-0.5,8.9,-0.028,0.021
310.188,-0.1,8.8,0.014,0.003
310.288,0.4,8.7,0.063,0.007
310.387,0.8,8.6,0.119,0.007
310.487,1.3,8.6,0.183,0.003
310.587,1.8,8.6,0.242,0.007
310.686,2.3,8.5,0.32,0.007
310.786,2.6,8.7,0.386,0.007
310.886,3.2,8.8,0.478,0.007
310.985,3.6,8.8,0.566,0.007
311.085,4.1,9,0.66,0.017
311.185,4.8,9,0.766,0.007
311.284,5.3,9.3,0.882,0.007
311.384,5.9,9.6,0.998,0.003
311.484,6.4,9.8,1.124,0.01
311.583,7,10.2,1.237,0.007
311.683,7.4,10.5,1.335,0.007
311.783,7.9,10.8,1.426,0
311.883,8.3,11.1,1.497,0.003
311.982,8.5,11.3,1.556,0.003
312.082,8.8,11.5,1.602,0.021
312.182,9,11.6,1.641,0.003
312.281,9.1,11.6,1.672,0.003
312.381,9.3,11.7,1.7,0.003
312.481,9.4,11.7,1.718,0.003
312.58,9.4,11.9,1.739,0.003
312.68,9.4,11.9,1.746,0
312.78,9.4,11.9,1.757,0.003
312.879,9.2,11.9,1.76,0.003
312.979,9.1,11.7,1.764,0
313.079,9,11.9,1.764,0.007
313.178,8.8,11.7,1.764,0
313.278,8.5,11.7,1.764,0.003
313.378,8.2,11.6,1.76,0
313.477,8,11.7,1.76,0
313.577,7.6,11.6,1.753,0
313.677,7.3,11.6,1.75,0
313.776,7,11.6,1.739,0.003
313.876,6.5,11.4,1.732,0
313.976,6.1,11.4,1.721,0.003
314.075,5.5,11.3,1.711,0
314.175,5.1,11.2,1.69,0.003
314.275,4.6,11,1.676,0
314.374,4.2,10.9,1.655,0
314.474,3.7,10.7,1.641,0.003
314.574,3.3,10.6,1.609,0.003
314.673,2.7,10.5,1.584,0
314.773,2.1,10.3,1.556,0.003
314.873,1.7,10.2,1.528,0.003
314.972,1.1,9.9,1.486,0.003
315.072,0.6,9.8,1.444,0
315.172,0.1,9.7,1.405,0.01
315.271,-0.3,9.5,1.36,0.003
315.371,-0.8,9.3,1.31,0.007
315.471,-1.3,9.2,1.261,0.007
315.57,-1.8,9,1.198,0.003
315.67,-2.1,8.9,1.145,0.003
315.77,-2.7,8.8,1.071,0.003
315.87,-3.1,8.7,0.998,0.003
315.969,-3.6,8.5,0.92,0.007
316.069,-4.2,8.4,0.829,0.007
316.169,-4.6,8.5,0.727,0.017
316.268,-5.1,8.5,0.611,0.003
316.368,-5.7,8.6,0.471,0.003
316.468,-6.2,8.7,0.337,0.007
316.567,-6.8,8.8,0.2,0.007
316.667,-7.2,9,0.084,0.007
316.767,-7.7,9.3,-0.021,0.01
316.866,-8.1,9.4,-0.112,0.01
316.966,-8.5,9.5,-0.186,0.007
317.066,-8.9,9.7,-0.239,0.007
317.165,-9,9.8,-0.278,0.021
317.265,-9.2,9.8,-0.306,0.007
317.365,-9.3,9.8,-0.334,0.007
317.464,-9.5,9.9,-0.355,0.007
317.564,-9.5,10,-0.369,0.007
317.664,-9.5,10,-0.379,0.007
317.763,-9.4,10,-0.383,0.007
317.863,-9.4,10,-0.386,0.007
317.963,-9.3,9.9,-0.39,0.007
318.062,-9,10,-0.393,0.007
318.162,-8.9,9.9,-0.393,0.017
318.262,-8.6,9.9,-0.39,0.003
318.361,-8.4,9.8,-0.386,0.007
318.461,-8,9.9,-0.383,0.007
318.561,-7.7,9.9,-0.379,0.003
318.66,-7.4,9.9,-0.372,0.003
318.76,-6.9,9.8,-0.362,0.003
318.86,-6.6,9.8,-0.355,0.003
318.959,-6.1,9.8,-0.344,0.003
319.059,-5.7,9.6,-0.334,0.003
319.159,-5.1,9.5,-0.316,0.014
319.258,-4.7,9.5,-0.302,0.003
319.358,-4.2,9.5,-0.278,0.007
319.458,-3.7,9.3,-0.253,0.003
319.557,-3.3,9.2,-0.225,0.007
319.657,-2.7,9.1,-0.193,0.003
319.757,-2.2,9,-0.165,0.003
319.857,-1.7,8.9,-0.13,0
319.956,-1.2,8.8,-0.091,0.003
320.056,-0.7,8.7,-0.049,0.003
320.156,-0.2,8.7,-0.007,0.007
320.255,0.2,8.6,0.042,0.003
320.355,0.7,8.5,0.095,0.007
320.455,1.1,8.3,0.151,0.007
320.554,1.6,8.3,0.218,0.003
320.654,2.1,8.3,0.285,0.007
320.754,2.6,8.4,0.358,0.007
320.853,3,8.3,0.443,0.007
320.953,3.5,8.5,0.53,0.007
321.053,4,8.6,0.629,0.007
321.152,4.5,8.9,0.734,0.007
321.252,5.1,9,0.85,0.014
321.352,5.7,9.2,0.97,0.003
321.451,6.3,9.6,1.096,0.007
321.551,6.8,9.8,1.212,0.007
321.651,7.3,10.2,1.324,0.003
321.75,7.6,10.4,1.419,0.003
321.85,8.2,10.8,1.507,0.003
321.95,8.4,10.9,1.567,0.003
322.049,8.8,11.2,1.623,0.003
322.149,9,11.4,1.662,0
322.249,9.1,11.4,1.697,0.017
322.348,9.2,11.5,1.728,0
322.448,9.4,11.5,1.75,0
322.548,9.4,11.6,1.767,-0.003
322.647,9.4,11.6,1.774,0.003
322.747,9.4,11.7,1.788,0
322.847,9.4,11.5,1.795,0.003
322.946,9.2,11.7,1.795,0
323.046,9.1,11.7,1.795,0
323.146,8.8,11.6,1.799,0
323.245,8.6,11.6,1.799,0.017
323.345,8.3,11.5,1.795,-0.003
323.445,8.1,11.6,1.795,0.003
323.544,7.8,11.4,1.792,0
323.644,7.4,11.5,1.785,0
323.744,7,11.3,1.781,0.003
323.844,6.6,11.3,1.771,0.003
323.943,6.2,11.3,1.76,0
324.043,5.6,11.1,1.746,0
324.143,5.3,11.1,1.735,0.003
324.242,4.7,10.9,1.714,0.014
324.342,4.4,10.7,1.7,0
324.442,3.8,10.6,1.679,0.003
324.541,3.4,10.5,1.655,0.003
324.641,2.8,10.3,1.627,0
324.741,2.4,10.2,1.602,0.003
324.84,1.8,10,1.567,0.003
324.94,1.4,9.9,1.539,0.003
325.04,0.9,9.7,1.497,0.003
325.139,0.3,9.5,1.454,0.003
325.239,-0.1,9.4,1.416,0.007
325.339,-0.7,9.2,1.36,0.003
325.438,-1.2,9,1.31,0.003
325.538,-1.5,9,1.258,0.003
325.638,-2,8.8,1.198,0.003
325.737,-2.5,8.6,1.124,0.003
325.837,-3,8.4,1.057,0.003
325.937,-3.5,8.4,0.973,0.007
326.036,-3.9,8.3,0.885,0.007
326.136,-4.5,8.4,0.79,0.007
326.236,-5.1,8.2,0.678,0.007
326.335,-5.6,8.4,0.541,0.003
326.435,-6.1,8.3,0.404,0.003
326.535,-6.6,8.6,0.263,0.003
326.634,-7,8.7,0.141,0.007
326.734,-7.5,8.9,0.025,0.003
326.834,-7.9,9,-0.077,0.003
326.933,-8.3,9.2,-0.162,0.007
327.033,-8.6,9.4,-0.221,0.007
327.133,-9,9.4,-0.271,0.003
327.232,-9.2,9.6,-0.306,0.007
327.332,-9.4,9.6,-0.337,0.017
327.432,-9.4,9.7,-0.362,0.007
327.531,-9.5,9.7,-0.376,0
327.631,-9.4,9.7,-0.383,0.003
327.731,-9.5,9.8,-0.393,0.003
327.831,-9.4,9.7,-0.397,0.003
327.93,-9.2,9.9,-0.4,0.003
328.03,-9,9.6,-0.404,0.003
328.13,-8.9,9.8,-0.4,0.007
328.229,-8.6,9.7,-0.4,0.007
328.329,-8.4,9.8,-0.4,0.017
328.429,-8.1,9.8,-0.397,0.003
328.528,-7.8,9.7,-0.39,0.003
328.628,-7.5,9.7,-0.383,0.003
328.728,-7,9.5,-0.376,0.003
328.827,-6.6,9.6,-0.365,0.007
328.927,-6.3,9.5,-0.358,0.007
329.027,-5.8,9.5,-0.344,0.003
329.126,-5.4,9.3,-0.33,0.007
329.226,-4.9,9.3,-0.309,0.003
329.326,-4.4,9.3,-0.292,0.017
329.425,-3.9,9.1,-0.271,0.003
329.525,-3.3,9.1,-0.239,0.007
329.625,-3,8.9,-0.214,0.003
329.724,-2.4,8.8,-0.183,0.003
329.824,-1.9,8.7,-0.151,0.003
329.924,-1.3,8.6,-0.105,0.003
330.023,-0.9,8.4,-0.067,0.003
330.123,-0.4,8.4,-0.025,0.007
330.223,0,8.3,0.025,0.007
330.322,0.5,8.3,0.074,0.007
330.422,1,8.2,0.133,0.003
330.522,1.4,8.2,0.197,0.007
330.621,1.9,8.2,0.267,0.003
330.721,2.3,8.2,0.337,0.007
330.821,2.8,8.3,0.422,0.003
330.92,3.2,8.3,0.506,0.007
331.02,3.8,8.3,0.601,0.007
331.12,4.4,8.5,0.706,0.007
331.219,5,8.7,0.819,0.007
331.319,5.5,8.9,0.942,0.007
331.419,6.1,9.2,1.064,0.003
331.518,6.6,9.6,1.187,0.003
331.618,7,9.8,1.303,0.003
331.718,7.5,10.1,1.405,0
331.817,7.9,10.4,1.504,0.003
331.917,8.2,10.7,1.574,0.003
332.017,8.7,10.9,1.641,0.003
332.117,8.8,11,1.69,0
332.216,9.1,11.3,1.725,0
332.316,9.1,11.2,1.753,0.003
332.416,9.4,11.4,1.781,0.003
332.515,9.4,11.3,1.799,0
332.615,9.5,11.5,1.813,0.003
332.715,9.4,11.4,1.827,0.007
332.814,9.4,11.4,1.834,0.003
332.914,9.2,11.4,1.837,0.003
333.014,9.1,11.4,1.841,0
333.113,8.9,11.4,1.837,0
333.213,8.7,11.3,1.841,0.003
333.313,8.5,11.4,1.834,0
333.412,8.2,11.4,1.834,0.007
333.512,7.9,11.3,1.834,0
333.612,7.6,11.3,1.827,0
333.711,7.2,11.2,1.82,-0.003
333.811,6.8,11.2,1.816,0
333.911,6.3,11,1.802,0
334.01,5.8,11,1.788,0
334.11,5.5,10.8,1.778,0.003
334.21,5,10.7,1.76,0
334.309,4.5,10.6,1.743,0
334.409,3.9,10.5,1.721,0.014
334.509,3.5,10.4,1.7,0
334.608,3,10.3,1.672,0
334.708,2.5,10.1,1.648,0
334.808,2,9.9,1.616,0
334.907,1.5,9.8,1.588,0
335.007,0.9,9.5,1.546,0
335.107,0.5,9.4,1.507,0
335.206,-0.1,9.2,1.465,0
335.306,-0.5,9,1.416,0
335.406,-1,8.9,1.367,0.014
335.505,-1.4,8.7,1.31,0.003
335.605,-1.9,8.5,1.251,0.003
335.705,-2.3,8.4,1.184,0.003
335.804,-2.7,8.3,1.11,0
335.904,-3.3,8.2,1.033,0.007
336.004,-3.8,8,0.945,0
336.104,-4.2,8.1,0.85,0.003
336.203,-4.8,8,0.738,0.003
336.303,-5.4,8.1,0.604,0.003
336.403,-6,8.2,0.467,0.014
336.502,-6.4,8.3,0.33,0.003
336.602,-6.9,8.3,0.197,0.007
336.702,-7.3,8.6,0.074,0.007
336.801,-7.8,8.8,-0.039,0
336.901,-8.2,8.9,-0.13,0.003
337.001,-8.5,9.1,-0.204,0.003
337.1,-8.9,9.2,-0.26,0.003
337.2,-9,9.4,-0.302,0
337.3,-9.3,9.5,-0.337,0.003
337.399,-9.4,9.5,-0.362,0.003
337.499,-9.5,9.5,-0.386,0.003
337.599,-9.5,9.5,-0.397,0.003
337.698,-9.5,9.6,-0.408,0
337.798,-9.4,9.5,-0.411,0.003
337.898,-9.4,9.6,-0.411,0.003
337.997,-9.2,9.6,-0.411,0.003
338.097,-9,9.6,-0.411,0.003
338.197,-8.8,9.5,-0.411,0.003
338.296,-8.5,9.6,-0.408,0.007
338.396,-8.3,9.6,-0.408,0.007
338.496,-8,9.6,-0.4,0.014
338.595,-7.6,9.6,-0.397,0.003
338.695,-7.2,9.5,-0.386,0
338.795,-6.8,9.4,-0.379,0.003
338.894,-6.3,9.2,-0.372,0.003
338.994,-5.9,9.4,-0.358,0.003
339.094,-5.5,9.2,-0.344,0
339.193,-4.9,9.2,-0.327,0.007
339.293,-4.6,9,-0.313,0.003
339.393,-4.1,9,-0.285,0.007
339.492,-3.6,9,-0.26,0.017
339.592,-3.1,8.7,-0.235,0.003
339.692,-2.6,8.7,-0.2,0.003
339.791,-2.1,8.5,-0.169,0.003
339.891,-1.5,8.5,-0.133,0.007
339.991,-1.1,8.4,-0.091,0.003
340.09,-0.6,8.4,-0.046,0.003
340.19,-0.1,8.1,0,0.003
340.29,0.4,8.1,0.053,0.003
340.39,0.8,8,0.102,0.003
340.489,1.3,8,0.165,0.017
340.589,1.8,7.9,0.228,0.003
340.689,2.1,8,0.302,0.003
340.788,2.6,8,0.383,0.003
340.888,3.2,8,0.471,0.007
340.988,3.6,8.1,0.573,0.003
341.087,4.2,8.3,0.675,0.007
341.187,4.7,8.4,0.787,0.003
341.287,5.3,8.6,0.91,0
341.386,5.9,8.9,1.036,0.003
341.486,6.5,9.3,1.166,0.017
341.586,6.9,9.5,1.289,0.003
341.685,7.3,9.9,1.409,0.003
341.785,7.7,10.1,1.5,0.003
341.885,8.2,10.4,1.584,0
341.984,8.5,10.7,1.651,0
342.084,8.8,10.8,1.707,0.003
342.184,9,11,1.746,0.003
342.283,9.2,11.1,1.785,0
342.383,9.3,11.2,1.809,0
342.483,9.4,11.4,1.83,0.003
342.582,9.4,11.2,1.848,0
342.682,9.4,11.4,1.855,0
342.782,9.3,11.3,1.869,0
342.881,9.3,11.3,1.872,0
342.981,9.1,11.4,1.876,0
343.081,9,11.3,1.876,0
343.18,8.8,11.3,1.876,0
343.28,8.5,11.2,1.872,0
343.38,8.3,11.3,1.872,0
343.479,8,11.2,1.865,0
343.579,7.6,11.2,1.862,0
343.679,7.3,11,1.855,0
343.778,6.9,11,1.851,0
343.878,6.5,10.9,1.841,-0.003
343.978,6.1,10.8,1.83,0
344.077,5.6,10.7,1.823,0
344.177,5.2,10.7,1.806,0
344.277,4.7,10.5,1.788,0
344.377,4.2,10.4,1.767,0.003
344.476,3.7,10.2,1.746,0.003
344.576,3.2,10.1,1.721,0.007
344.676,2.7,9.9,1.693,0
344.775,2.2,9.8,1.662,0
344.875,1.7,9.6,1.634,0.003
344.975,1.1,9.5,1.598,0.003
345.074,0.7,9.2,1.556,0.003
345.174,0.1,9.2,1.514,0.003
345.274,-0.4,8.9,1.465,0.003
345.373,-0.9,8.8,1.419,0.007
345.473,-1.3,8.6,1.367,0.003
345.573,-1.8,8.6,1.303,0.014
345.672,-2.1,8.3,1.244,0.007
345.772,-2.7,8.2,1.173,0.003
345.872,-3.1,8,1.096,0.007
345.971,-3.6,7.9,1.008,0.003
346.071,-4,7.8,0.917,0.003
346.171,-4.6,7.7,0.805,0.003
346.27,-5.2,7.8,0.682,0.007
346.37,-5.8,7.8,0.538,0
346.47,-6.3,8,0.4,0.007
346.569,-6.7,8.2,0.263,0.017
346.669,-7.1,8.3,0.141,0.007
346.769,-7.5,8.5,0.018,0.003
346.868,-8,8.7,-0.088,0.007
346.968,-8.3,8.9,-0.176,0.003
347.068,-8.7,9,-0.242,0.003
347.167,-8.9,9.2,-0.295,0
347.267,-9.2,9.2,-0.33,0.007
347.367,-9.3,9.3,-0.358,0.003
347.466,-9.5,9.4,-0.383,0.007
347.566,-9.5,9.5,-0.397,0.017
347.666,-9.5,9.4,-0.408,0.003
347.765,-9.4,9.3,-0.415,0.003
347.865,-9.4,9.5,-0.418,0.007
347.965,-9.2,9.4,-0.418,0.003
348.064,-9,9.4,-0.422,0.007
348.164,-8.9,9.4,-0.418,0.003
348.264,-8.6,9.4,-0.418,0.003
348.363,-8.4,9.3,-0.415,0.003
348.463,-8.1,9.4,-0.411,0.003
348.563,-7.8,9.4,-0.404,0.007
348.663,-7.4,9.3,-0.4,0.003
348.762,-6.9,9.3,-0.386,0.003
348.862,-6.6,9.1,-0.386,0.007
348.962,-6.1,9.1,-0.369,0.003
349.061,-5.7,9,-0.358,0.003
349.161,-5.1,8.9,-0.337,0.003
349.261,-4.7,8.9,-0.323,0.003
349.36,-4.2,8.9,-0.299,0.007
349.46,-3.9,8.7,-0.278,0.007
349.56,-3.2,8.6,-0.246,0.003
349.659,-2.7,8.5,-0.218,0.007
349.759,-2.3,8.3,-0.19,0.003
349.859,-1.7,8.3,-0.148,0.003
349.958,-1.2,8.2,-0.112,0.003
350.058,-0.7,8.1,-0.067,0.003
350.158,-0.2,8,-0.025,0.007
350.257,0.2,8,0.032,0.003
350.357,0.6,7.8,0.081,0.003
350.457,1.1,7.8,0.144,0.003
350.556,1.6,7.7,0.207,0.003
350.656,2,7.9,0.281,0.021
350.756,2.4,7.8,0.358,0.003
350.855,2.9,7.8,0.446,0.003
350.955,3.5,7.9,0.541,0.007
351.055,4,8.1,0.646,0.003
