Time (s),Shear Stress (kPa),Vertical Effective Stress (kPa),Shear Strain (%),Vertical Strain (%)
183.003,31.9,123.2,1.868,-0.006
183.103,31.2,123.2,1.858,-0.005
183.202,30.4,122.8,1.846,-0.006
183.302,29.5,122.7,1.826,-0.006
183.402,28.6,122.4,1.803,-0.005
183.501,27.6,122.2,1.772,-0.006
183.601,26.4,121.7,1.737,-0.005
183.701,25.1,121.4,1.691,-0.005
183.8,23.6,120.9,1.644,-0.005
183.9,22.2,120.6,1.587,0
184,20.5,119.9,1.529,-0.003
184.099,18.9,119.6,1.462,-0.003
184.199,17.1,119.4,1.396,-0.003
184.299,15.3,119.1,1.316,-0.003
184.398,13.4,118.7,1.237,-0.002
184.498,11.5,118.5,1.151,-0.002
184.598,9.5,118.1,1.06,-0.002
184.697,7.4,117.8,0.963,0
184.797,5.5,117.4,0.864,0.002
184.897,3.3,117.1,0.758,0.005
184.996,1.3,116.7,0.651,0.002
185.096,-0.8,116.7,0.538,0.003
185.196,-2.8,116.5,0.427,0.003
185.296,-4.9,116.3,0.303,0.002
185.395,-7,116.1,0.182,0.003
185.495,-8.8,116.1,0.054,0.002
185.595,-10.7,116.3,-0.157,0.005
185.694,-12.9,116,-0.326,0.003
185.794,-14.8,115.9,-0.468,0.003
185.894,-16.6,115.7,-0.609,0.005
185.993,-18.4,115.8,-0.749,0.003
186.093,-20,115.9,-0.891,0.005
186.193,-21.6,116.1,-1.035,0.003
186.292,-23.1,116.3,-1.174,0.005
186.392,-24.8,116.4,-1.301,0.005
186.492,-26.1,116.3,-1.41,0.003
186.591,-27.3,116.2,-1.506,0.003
186.691,-28.5,116.1,-1.59,0.003
186.791,-29.6,116.2,-1.668,0.003
186.89,-30.4,116,-1.732,0.005
186.99,-31.1,115.9,-1.789,0.005
187.09,-31.9,116.1,-1.842,0.005
187.189,-32.3,116.2,-1.887,0.003
187.289,-32.8,116.5,-1.927,0.003
187.389,-33,116.9,-1.962,0.005
187.488,-33.1,117.2,-1.991,0.005
187.588,-33.1,117.4,-2.012,0.003
187.688,-33,117.4,-2.024,0.005
187.787,-32.7,117.5,-2.027,0.005
187.887,-32.3,117.8,-2.029,0.005
187.987,-31.9,117.8,-2.026,0.011
188.086,-31.3,117.9,-2.021,0.005
188.186,-30.6,117.9,-2.006,0.005
188.286,-29.6,117.9,-1.988,0.005
188.385,-28.7,118,-1.966,0.005
188.485,-27.6,118.1,-1.934,0.005
188.585,-26.5,118.3,-1.899,0.005
188.684,-25.3,118.5,-1.856,0.005
188.784,-24,118.5,-1.807,0.006
188.884,-22.6,118.7,-1.752,0.006
188.983,-21,118.8,-1.69,0.012
189.083,-19.4,118.9,-1.622,0.006
189.183,-17.6,119.1,-1.543,0.006
189.282,-15.8,118.9,-1.46,0.005
189.382,-14,118.8,-1.367,0.005
189.482,-12.2,118.6,-1.263,0.005
189.582,-10.2,118.1,-1.147,0.005
189.681,-8.2,117.7,-1.015,0.005
189.781,-6,117.9,-0.885,0.006
189.881,-4.1,118,-0.758,0.006
189.98,-2.5,117.6,-0.612,0.011
190.08,0.1,117.4,-0.382,0.005
190.18,2.3,117.7,-0.229,0.006
190.279,4.4,118,-0.086,0.006
190.379,6.5,118.2,0.061,0.006
190.479,8.5,118.5,0.199,0.005
190.578,10.6,119,0.338,0.003
190.678,12.5,119.3,0.471,0.005
190.778,14.4,119.6,0.599,0.006
190.877,16.3,120,0.728,0.005
190.977,18,120.4,0.849,0.006
191.077,19.7,120.4,0.966,0.003
191.176,21.4,120.6,1.081,0.003
191.276,23,121,1.182,0.002
191.376,24.4,121.2,1.281,0
191.475,25.7,121.3,1.372,0.002
191.575,27,121.6,1.453,-0.002
191.675,28.1,121.8,1.527,-0.002
191.774,29.2,122,1.593,-0.002
191.874,30.1,122.1,1.651,-0.003
191.974,31,122.3,1.7,-0.005
192.073,31.6,122.3,1.746,-0.005
192.173,32.2,122.5,1.783,-0.006
192.273,32.6,122.6,1.816,-0.005
192.372,32.8,122.7,1.839,-0.006
192.472,33.1,122.7,1.858,-0.006
192.572,33.1,122.7,1.868,-0.006
192.671,33.1,122.7,1.876,-0.006
192.771,32.8,122.5,1.878,-0.006
192.871,32.5,122.5,1.876,-0.005
192.97,31.9,122.4,1.875,-0.006
193.07,31.4,122.2,1.867,-0.003
193.17,30.7,122,1.853,-0.006
193.269,29.8,121.8,1.835,-0.005
193.369,28.9,121.5,1.813,-0.005
193.469,28,121.3,1.784,-0.006
193.569,26.9,121,1.751,-0.005
193.668,25.5,120.6,1.711,-0.006
193.768,24.2,120.2,1.662,-0.005
193.868,22.7,119.7,1.61,-0.005
193.967,21.1,119.4,1.552,-0.003
194.067,19.4,119.3,1.489,0
194.167,17.6,118.9,1.42,-0.002
194.266,16,118.8,1.347,-0.003
194.366,14,118.3,1.266,-0.002
194.466,12.1,118,1.185,-0.002
194.565,10.2,117.6,1.095,-0.003
194.665,8.2,117.3,0.998,-0.002
194.765,6.1,117.3,0.898,0
194.864,4,117,0.797,0
194.964,2,117.3,0.688,0
195.064,-0.3,116.8,0.573,0.005
195.163,-2.2,116.3,0.462,-0.002
195.263,-4.3,116,0.342,0.002
195.363,-6.4,115.9,0.222,0.002
195.462,-8.3,115.7,0.095,0.002
195.562,-9.6,116.3,-0.073,0.002
195.662,-12.3,115.7,-0.278,0
195.761,-14.2,115.5,-0.422,0.002
195.861,-16,115.4,-0.564,0
195.961,-17.8,115.4,-0.703,0.002
196.06,-19.6,115.5,-0.847,0.006
196.16,-21.1,115.6,-0.991,0.003
196.26,-22.7,115.9,-1.131,0.002
196.359,-24.2,116,-1.26,0.002
196.459,-25.5,115.9,-1.375,0.002
196.559,-27,115.8,-1.472,0.002
196.658,-28.1,115.7,-1.563,0.003
196.758,-29.2,115.7,-1.642,0.002
196.858,-30.2,115.6,-1.711,0.002
196.957,-30.8,115.7,-1.771,0.003
197.057,-31.6,115.7,-1.824,0.005
197.157,-32.3,115.8,-1.873,0.003
197.256,-32.6,116,-1.913,0.003
197.356,-32.9,116.4,-1.953,0.002
197.456,-33.1,116.6,-1.988,0.003
197.555,-33.2,116.7,-2.011,0.002
197.655,-32.9,116.9,-2.024,0.003
197.755,-32.9,116.9,-2.032,0.003
197.855,-32.5,117,-2.031,0.003
197.954,-32.2,117,-2.031,0.003
198.054,-31.4,117.1,-2.023,0.003
198.154,-30.7,117.2,-2.014,0.005
198.253,-29.9,117.3,-1.997,0.003
198.353,-29,117.3,-1.975,0.003
198.453,-28,117.5,-1.946,0.003
198.552,-26.9,117.6,-1.913,0.003
198.652,-25.6,117.8,-1.87,0.002
198.752,-24.4,118,-1.824,0.002
198.851,-23,118.1,-1.769,0.005
198.951,-21.5,118.1,-1.712,0.003
199.051,-19.9,118.3,-1.645,0.003
199.15,-18.2,118.3,-1.573,0.008
199.25,-16.4,118.5,-1.489,0.003
199.35,-14.6,118.4,-1.401,0.003
199.449,-12.8,118.2,-1.301,0.003
199.549,-10.8,118,-1.188,0.003
199.649,-8.9,117.5,-1.063,0.003
199.748,-6.7,117.4,-0.928,0.005
199.848,-4.6,117.7,-0.8,0.003
199.948,-2.8,117.6,-0.671,0.003
200.047,-0.8,116.8,-0.453,0.005
200.147,1.6,117.2,-0.278,0.011
200.247,3.7,117.3,-0.133,0.005
200.346,5.8,117.6,0.011,0.005
200.446,7.8,117.9,0.151,0.003
200.546,9.8,118.3,0.294,0.003
200.645,11.8,118.6,0.43,0.003
200.745,13.8,119.1,0.561,0.002
200.845,15.6,119.4,0.69,0.003
200.944,17.4,119.7,0.812,0.003
201.044,19.2,120,0.933,0.002
201.144,20.9,120.3,1.047,0.008
201.243,22.5,120.3,1.156,0
201.343,24,120.6,1.258,0
201.443,25.3,120.9,1.347,0
201.542,26.6,121,1.436,-0.002
201.642,27.8,121.1,1.512,-0.002
201.742,29,121.4,1.581,-0.003
201.842,29.9,121.5,1.642,-0.003
201.941,30.7,121.6,1.694,-0.003
202.041,31.5,121.9,1.743,-0.005
202.141,32,122,1.783,0
202.24,32.5,122.1,1.813,-0.005
202.34,32.9,122.2,1.842,-0.006
202.44,33.1,122.1,1.861,-0.006
202.539,33.1,122.1,1.871,-0.006
202.639,33,122.2,1.882,-0.008
202.739,32.8,122.1,1.882,-0.006
202.838,32.5,122.1,1.882,-0.006
202.938,32.2,121.9,1.879,-0.006
203.038,31.6,121.8,1.876,-0.006
203.137,30.9,121.7,1.862,-0.006
203.237,30.2,121.5,1.846,-0.006
203.337,29.2,121.1,1.827,-0.006
203.436,28.3,120.9,1.801,-0.006
203.536,27.1,120.5,1.768,-0.008
203.636,26,120.2,1.729,-0.005
203.735,24.7,119.8,1.685,-0.006
203.835,23.2,119.4,1.633,-0.006
203.935,21.6,119,1.576,-0.005
204.034,20,118.7,1.514,-0.005
204.134,18.3,118.4,1.449,-0.005
204.234,16.5,118.1,1.378,-0.002
204.333,14.7,117.8,1.3,-0.003
204.433,12.7,117.5,1.217,-0.003
204.533,10.9,117.1,1.128,-0.005
204.632,8.8,116.8,1.037,-0.002
204.732,6.8,116.5,0.937,-0.002
204.832,4.7,116.2,0.835,-0.002
204.931,2.6,116,0.726,0
205.031,0.5,115.9,0.616,0
205.131,-1.6,115.8,0.505,0
205.23,-3.6,115.6,0.385,0.005
205.33,-5.7,115.5,0.263,0
205.43,-7.7,115.2,0.141,0.002
205.529,-9.2,115.5,-0.005,0.002
205.629,-11.6,115.4,-0.226,0.002
205.729,-13.7,115.1,-0.373,0.002
205.829,-15.4,115,-0.515,0.002
205.928,-17.1,114.8,-0.656,0.002
206.028,-19,115,-0.8,0.002
206.128,-20.6,115.4,-0.942,0.002
206.227,-22.2,115.4,-1.087,0.006
206.327,-23.7,115.5,-1.22,0.002
206.427,-25.2,115.5,-1.339,0.002
206.526,-26.5,115.4,-1.44,0.002
206.626,-27.9,115.4,-1.535,0.002
206.726,-28.8,115.3,-1.615,0.002
206.825,-29.8,115.2,-1.69,0.002
206.925,-30.7,115.2,-1.751,0.003
207.025,-31.4,115.2,-1.809,0.002
207.124,-32,115.3,-1.859,0.003
207.224,-32.5,115.5,-1.905,0.009
207.324,-32.8,115.8,-1.948,0.003
207.423,-33,116.1,-1.983,0.002
207.523,-33.2,116.2,-2.011,0.002
207.623,-33.1,116.4,-2.026,0.002
207.722,-33,116.4,-2.035,0.002
207.822,-32.7,116.4,-2.038,0.003
207.922,-32.3,116.6,-2.035,0.003
208.021,-31.7,116.6,-2.032,0.003
208.121,-30.9,116.6,-2.021,0.003
208.221,-30.2,116.8,-2.008,0.006
208.32,-29.3,116.8,-1.989,0.002
208.42,-28.2,116.9,-1.96,0.003
208.52,-27.3,117,-1.928,0.002
208.619,-26.1,117.2,-1.887,0.003
208.719,-24.9,117.3,-1.842,0.002
208.819,-23.4,117.5,-1.794,0.002
208.918,-22,117.5,-1.734,0.002
209.018,-20.5,117.7,-1.67,0.002
209.118,-18.8,117.8,-1.598,0.002
209.217,-17,117.9,-1.52,0.003
209.317,-15.2,117.9,-1.434,0.002
209.417,-13.4,117.8,-1.335,0.003
209.516,-11.6,117.5,-1.229,0.003
209.616,-9.5,117.2,-1.107,0.003
209.716,-7.4,116.8,-0.972,0.003
209.816,-5.3,117.1,-0.844,0.003
209.915,-3.3,117.2,-0.717,0.003
210.015,-2.1,116.1,-0.544,0.003
210.115,0.8,116.5,-0.333,0.003
210.214,3.1,116.8,-0.183,0.005
210.314,5.1,117,-0.038,0.008
210.414,7.2,117.3,0.109,0.003
210.513,9.1,117.6,0.246,0.003
210.613,11.2,118.1,0.387,0.003
210.713,13.2,118.6,0.52,0.003
210.812,15,118.9,0.65,0.002
210.912,16.9,119.2,0.775,0.003
211.012,18.6,119.7,0.893,0.002
211.111,20.4,119.8,1.009,0
211.211,21.9,119.8,1.121,0
211.311,23.5,120.1,1.225,0.005
211.41,24.8,120.3,1.32,0
211.51,26.3,120.5,1.408,0
211.61,27.4,120.7,1.486,-0.002
211.709,28.6,120.8,1.555,-0.003
211.809,29.5,120.9,1.616,-0.003
211.909,30.4,121.1,1.673,-0.005
212.008,31.2,121.1,1.722,-0.005
212.108,31.9,121.3,1.769,-0.005
212.208,32.3,121.3,1.804,-0.005
212.307,32.7,121.5,1.832,0
212.407,33,121.3,1.855,-0.005
212.507,33.1,121.3,1.87,-0.006
212.606,33.1,121.5,1.879,-0.006
212.706,33,121.2,1.884,-0.006
212.806,32.7,121.1,1.884,-0.005
212.905,32.3,121.2,1.882,-0.006
213.005,31.9,121,1.881,-0.006
213.105,31.2,120.9,1.87,-0.006
213.204,30.4,120.8,1.856,-0.006
213.304,29.5,120.5,1.836,-0.002
213.404,28.6,120.2,1.81,-0.006
213.503,27.6,120,1.783,-0.005
213.603,26.4,119.5,1.748,-0.005
213.703,25.1,119.2,1.702,-0.006
213.802,23.6,118.8,1.651,-0.006
213.902,22.1,118.5,1.598,-0.005
214.002,20.5,118.2,1.538,-0.006
214.102,18.9,118,1.472,-0.005
214.201,17.1,117.7,1.402,-0.003
214.301,15.2,117.3,1.324,-0.003
214.401,13.3,117,1.248,-0.002
214.5,11.4,116.7,1.159,-0.002
214.6,9.5,116.4,1.067,-0.003
214.7,7.4,116.1,0.972,-0.002
214.799,5.4,115.9,0.872,0
214.899,3.4,115.6,0.766,0
214.999,1.3,115.6,0.656,0
215.098,-0.8,115.4,0.538,0
215.198,-2.8,115.2,0.425,0
215.298,-5.1,115,0.303,0
215.397,-7,114.9,0.179,0.002
215.497,-8.8,114.8,0.049,0.002
215.597,-10.9,115.1,-0.168,0.002
215.696,-13,114.6,-0.332,0.002
215.796,-14.8,114.5,-0.471,0.002
215.896,-16.6,114.4,-0.615,0.002
215.995,-18.4,114.5,-0.755,0.002
216.095,-20.1,114.7,-0.902,0.002
216.195,-21.7,114.9,-1.04,0.002
216.294,-23.2,115,-1.179,0.002
216.394,-24.7,114.9,-1.301,0.005
216.494,-26.1,114.8,-1.411,0.003
216.593,-27.3,114.8,-1.506,0.003
216.693,-28.5,114.6,-1.592,0.003
216.793,-29.5,114.7,-1.667,0.002
216.892,-30.4,114.6,-1.734,0.002
216.992,-31.2,114.7,-1.794,0.002
217.092,-31.8,114.7,-1.847,0.003
217.191,-32.4,114.9,-1.897,0.003
217.291,-32.7,115.3,-1.942,0.003
217.391,-33,115.5,-1.979,0.006
217.49,-33.1,115.5,-2.008,0.002
217.59,-33.1,115.8,-2.026,0.002
217.69,-33,115.8,-2.035,0.003
217.789,-32.8,115.9,-2.04,0.002
217.889,-32.4,116,-2.038,0.003
217.989,-31.9,116.1,-2.035,0.002
218.089,-31.2,116.1,-2.027,0.003
218.188,-30.6,116.2,-2.015,0.002
218.288,-29.7,116.3,-1.995,0.003
218.388,-28.7,116.4,-1.969,0.009
218.487,-27.6,116.5,-1.94,0.002
218.587,-26.5,116.6,-1.902,0.003
218.687,-25.2,116.8,-1.859,0.003
218.786,-23.9,116.9,-1.81,0.003
218.886,-22.6,117,-1.754,0.003
218.986,-21,117.1,-1.693,0.003
219.085,-19.3,117.3,-1.624,0.003
219.185,-17.8,117.4,-1.547,0.003
219.285,-15.8,117.4,-1.463,0.003
219.384,-14,117.5,-1.372,0.008
219.484,-12.2,117.3,-1.268,0.003
219.584,-10.2,116.9,-1.15,0.003
219.683,-8.2,116.4,-1.02,0.003
219.783,-5.9,116.6,-0.887,0.003
219.883,-4,116.7,-0.761,0.003
219.982,-2.4,116.3,-0.619,0.005
220.082,0.2,116.1,-0.387,0.005
220.182,2.3,116.3,-0.229,0.005
220.281,4.4,116.5,-0.084,0.005
220.381,6.4,116.8,0.058,0.006
220.481,8.5,117,0.199,0.005
220.58,10.5,117.4,0.344,0.005
220.68,12.5,117.9,0.48,0.003
220.78,14.4,118.3,0.61,0.005
220.879,16.2,118.7,0.737,0.003
220.979,18,119.1,0.859,0.003
221.079,19.7,119.2,0.976,0.003
221.178,21.5,119.5,1.089,0.002
221.278,23,119.5,1.194,0.002
221.378,24.5,119.7,1.292,0.002
221.477,25.9,119.9,1.384,0.002
221.577,27.1,120.1,1.465,0
221.677,28.2,120.3,1.538,0
221.776,29.3,120.3,1.604,-0.002
221.876,30.1,120.4,1.66,-0.003
221.976,31,120.5,1.712,-0.003
222.076,31.6,120.7,1.757,-0.005
222.175,32.2,120.8,1.795,-0.005
222.275,32.7,120.8,1.827,-0.005
222.375,32.8,120.9,1.85,-0.006
222.474,33.1,120.9,1.868,-0.002
222.574,33.1,120.9,1.879,-0.006
222.674,33,120.8,1.885,-0.006
222.773,32.7,120.8,1.885,-0.006
222.873,32.5,120.8,1.885,-0.006
222.973,31.9,120.5,1.882,-0.006
223.072,31.4,120.4,1.876,-0.005
223.172,30.6,120.3,1.861,-0.005
223.272,29.8,120.1,1.847,-0.006
223.371,28.9,119.8,1.823,-0.006
223.471,27.9,119.6,1.794,-0.002
223.571,26.8,119.3,1.76,-0.006
223.67,25.6,118.9,1.72,-0.006
223.77,24.2,118.6,1.671,-0.005
223.87,22.7,118.2,1.619,-0.005
223.969,21.1,117.8,1.56,-0.005
224.069,19.4,117.7,1.497,-0.005
224.169,17.6,117.4,1.428,-0.005
224.268,15.9,117.1,1.356,-0.003
224.368,14,116.6,1.274,-0.002
224.468,12.1,116.4,1.19,0.005
224.567,10.1,116.1,1.101,-0.002
224.667,8,115.7,1.006,-0.003
224.767,6.1,115.5,0.907,-0.002
224.866,4,115.3,0.801,0
224.966,1.9,115.2,0.69,0
225.066,-0.2,115,0.576,0
225.165,-2.2,114.8,0.466,0
225.265,-4.3,114.6,0.344,0.002
225.365,-6.3,114.3,0.222,0.002
225.464,-8.4,114,0.095,0.005
225.564,-9.6,114.7,-0.089,0.003
225.664,-12.3,113.9,-0.283,0.003
225.763,-14.3,113.6,-0.425,0.002
225.863,-16.1,113.4,-0.567,0.002
225.963,-17.9,113.3,-0.709,0.003
226.063,-19.5,113.4,-0.853,0.003
226.162,-21.1,113.6,-0.997,0.002
226.262,-22.7,113.9,-1.138,0
226.362,-24.2,113.9,-1.264,0
226.461,-25.6,113.7,-1.375,0.003
226.561,-26.9,113.8,-1.475,0
226.661,-28.1,113.6,-1.566,0
226.76,-29.2,113.6,-1.645,0.002
226.86,-30.1,113.6,-1.711,0
226.96,-30.9,113.8,-1.775,0
227.059,-31.6,113.9,-1.833,0
227.159,-32.1,114.3,-1.882,0.002
227.259,-32.6,114.6,-1.933,0.003
227.358,-32.9,115,-1.974,0.002
227.458,-33.1,115.2,-2.005,0.002
227.558,-33.1,115.2,-2.023,0.003
227.657,-33.1,115.2,-2.035,0.002
227.757,-32.9,115.3,-2.041,0.002
227.857,-32.6,115.3,-2.04,0.003
227.956,-32.1,115.4,-2.038,0.002
228.056,-31.5,115.5,-2.032,0.003
228.156,-30.7,115.5,-2.021,0.003
228.255,-29.9,115.6,-2.005,0.003
228.355,-29.1,115.6,-1.98,0.002
228.455,-28,115.8,-1.953,0.005
228.554,-27,115.8,-1.919,0.006
228.654,-25.7,116.1,-1.875,0.003
228.754,-24.4,116.3,-1.829,0.003
228.853,-23,116.4,-1.775,0.003
228.953,-21.5,116.5,-1.714,0.003
229.053,-19.9,116.6,-1.645,0.003
229.152,-18.2,116.7,-1.572,0.003
229.252,-16.4,117,-1.491,0.002
229.352,-14.6,116.9,-1.402,0.003
229.451,-12.7,116.8,-1.304,0.003
229.551,-10.8,116.5,-1.191,0.011
229.651,-8.8,116,-1.064,0.005
229.75,-6.6,115.9,-0.93,0.005
229.85,-4.6,116.2,-0.801,0.005
229.95,-2.7,116.1,-0.674,0.003
230.049,-0.8,115.5,-0.457,0.005
230.149,1.6,115.9,-0.281,0.005
230.249,3.7,116,-0.136,0.003
230.349,5.7,116.2,0.008,0.005
230.448,7.8,116.4,0.151,0.003
230.548,9.9,116.9,0.297,0.012
230.648,11.8,117.1,0.437,0.005
230.747,13.8,117.7,0.57,0.003
230.847,15.7,118,0.7,0.002
230.947,17.5,118.5,0.824,0.002
231.046,19.2,118.9,0.94,0
231.146,20.9,119.1,1.053,0
231.246,22.5,119.2,1.162,0
231.345,24,119.2,1.266,0
231.445,25.3,119.4,1.356,0
231.545,26.7,119.6,1.443,0.002
231.644,27.9,119.7,1.521,-0.002
231.744,28.9,119.8,1.589,-0.002
231.844,29.8,120,1.647,-0.003
231.943,30.8,120.2,1.7,-0.002
232.043,31.5,120.3,1.749,-0.005
232.143,32,120.4,1.789,-0.005
232.242,32.5,120.5,1.82,-0.006
232.342,32.8,120.6,1.849,-0.005
232.442,33,120.6,1.868,-0.006
232.541,33.1,120.7,1.879,-0.005
232.641,33.1,120.5,1.887,-0.006
232.741,32.8,120.5,1.89,-0.006
232.84,32.6,120.4,1.888,-0.008
232.94,32.2,120.3,1.887,-0.008
233.04,31.6,120.2,1.882,-0.006
233.139,30.9,120.1,1.87,-0.008
233.239,30.1,119.8,1.853,-0.006
233.339,29.2,119.7,1.833,-0.008
233.438,28.2,119.4,1.809,-0.006
233.538,27.1,119.1,1.777,-0.006
233.638,26,118.8,1.738,-0.005
233.737,24.7,118.3,1.693,-0.008
233.837,23.2,117.9,1.639,-0.006
233.937,21.5,117.5,1.586,-0.006
234.036,20,117.2,1.521,-0.003
234.136,18.2,116.9,1.456,-0.005
234.236,16.5,116.6,1.382,-0.003
234.336,14.6,116.2,1.303,-0.003
234.435,12.6,115.9,1.223,-0.002
234.535,10.7,115.4,1.135,-0.002
234.635,8.8,115,1.043,0.005
234.734,6.8,114.6,0.945,0
234.834,4.7,114.4,0.839,-0.002
234.934,2.7,114.1,0.732,0
235.033,0.5,113.8,0.618,0.002
235.133,-1.5,113.5,0.505,0.002
235.233,-3.7,113,0.385,0.002
235.332,-5.7,112.6,0.265,0.002
235.432,-7.8,112.2,0.141,0.003
235.532,-9.2,112.6,-0.012,0.005
235.631,-11.7,112.2,-0.231,0.009
235.731,-13.6,111.8,-0.376,0.005
235.831,-15.5,111.5,-0.518,0.005
235.93,-17.2,111.4,-0.662,0.005
236.03,-19,111.5,-0.809,0.005
236.13,-20.5,111.7,-0.954,0.005
236.229,-22.3,111.9,-1.102,0.003
236.329,-23.8,112,-1.226,0.005
236.429,-25.2,111.9,-1.342,0.005
236.528,-26.5,112,-1.446,0.005
236.628,-27.8,111.8,-1.535,0.008
236.728,-28.8,111.8,-1.618,0.005
236.827,-29.8,111.9,-1.693,0.005
236.927,-30.6,112,-1.757,0.005
237.027,-31.4,112.2,-1.818,0.005
237.126,-31.9,112.6,-1.87,0.005
237.226,-32.4,113.1,-1.923,0.005
237.326,-32.8,113.4,-1.965,0.005
237.425,-33.2,113.7,-2,0.005
237.525,-33.2,113.9,-2.023,0.005
237.625,-33,114.3,-2.037,0.008
237.724,-33,114.2,-2.044,0.005
237.824,-32.7,114.4,-2.046,0.005
237.924,-32.2,114.4,-2.043,0.003
238.023,-31.7,114.5,-2.04,0.005
238.123,-31,114.6,-2.029,0.005
238.223,-30.2,114.7,-2.015,0.006
238.323,-29.3,114.8,-1.994,0.005
238.422,-28.3,114.9,-1.966,0.005
238.522,-27.3,115.1,-1.933,0.003
238.622,-26.1,115.3,-1.89,0.006
238.721,-24.9,115.4,-1.847,0.005
238.821,-23.4,115.6,-1.795,0.005
238.921,-22,115.6,-1.738,0.005
239.02,-20.5,115.7,-1.674,0.005
239.12,-18.7,115.9,-1.601,0.003
239.22,-17,116,-1.518,0.005
239.319,-15.2,116,-1.434,0.005
239.419,-13.3,116,-1.336,0.006
239.519,-11.4,115.8,-1.232,0.005
239.618,-9.5,115.4,-1.112,0.006
239.718,-7.5,114.9,-0.977,0.008
239.818,-5.3,115.1,-0.846,0.006
239.917,-3.2,115.3,-0.719,0.006
240.017,-2,114.3,-0.552,0.006
240.117,0.9,114.4,-0.335,0.006
240.216,3.1,114.6,-0.185,0.006
240.316,5.2,114.7,-0.037,0.005
240.416,7.2,114.9,0.107,0.006
240.515,9.2,115.1,0.249,0.005
240.615,11.2,115.4,0.394,0.005
240.715,13.2,115.9,0.532,0.012
240.814,15,116.1,0.664,0.003
240.914,16.9,116.7,0.79,0.003
241.014,18.7,117.1,0.91,0.002
241.113,20.3,117.5,1.023,0
241.213,21.9,117.8,1.135,-0.002
241.313,23.5,118,1.238,-0.003
241.412,24.9,118.2,1.333,-0.003
241.512,26.3,118.4,1.425,-0.003
241.612,27.4,118.6,1.503,-0.005
241.711,28.6,118.9,1.575,0.002
241.811,29.6,119.2,1.636,-0.006
241.911,30.5,119.4,1.694,-0.006
242.01,31.2,119.7,1.74,-0.008
242.11,31.8,119.7,1.781,-0.008
242.21,32.4,119.9,1.818,-0.009
242.309,32.7,120,1.846,-0.008
242.409,33.1,120.1,1.868,-0.009
242.509,33.1,120,1.882,-0.009
242.609,33.1,120.1,1.891,-0.009
242.708,32.9,120,1.896,-0.005
242.808,32.7,119.9,1.894,-0.011
242.908,32.3,119.8,1.894,-0.011
243.007,31.8,119.7,1.891,-0.011
243.107,31.2,119.6,1.879,-0.011
243.207,30.4,119.4,1.865,-0.009
243.306,29.6,119.2,1.847,-0.009
243.406,28.6,118.9,1.823,-0.011
243.506,27.5,118.6,1.79,-0.009
243.605,26.3,118.4,1.758,-0.011
243.705,25.1,118,1.714,-0.008
243.805,23.6,117.4,1.664,-0.009
243.904,22.1,117,1.605,-0.008
244.004,20.6,116.5,1.547,-0.008
244.104,18.8,116,1.482,-0.006
244.203,17,115.5,1.414,-0.008
244.303,15.2,115.1,1.338,-0.006
244.403,13.4,114.5,1.258,-0.006
244.502,11.4,113.8,1.173,-0.005
244.602,9.4,113.2,1.081,-0.005
244.702,7.5,112.8,0.985,-0.003
244.801,5.3,112.5,0.879,-0.002
244.901,3.3,112.2,0.772,-0.003
245.001,1.3,111.8,0.662,-0.002
245.1,-0.9,111.5,0.547,0
245.2,-3,111,0.433,0
245.3,-5,110.5,0.31,0.002
245.399,-7.1,110.1,0.187,0.002
245.499,-8.7,110.1,0.049,0.003
245.599,-10.9,110.1,-0.173,0.003
245.698,-13,109.7,-0.33,0.003
245.798,-14.8,109.4,-0.469,0.006
245.898,-16.6,109,-0.613,0.002
245.997,-18.4,109.3,-0.76,0.003
246.097,-20,109.5,-0.908,0.003
246.197,-21.7,109.9,-1.057,0.003
246.296,-23.3,109.8,-1.188,0.005
246.396,-24.7,109.9,-1.312,0.003
246.496,-26.1,110,-1.416,0.003
246.596,-27.4,109.7,-1.509,0.005
246.695,-28.5,109.8,-1.596,0.003
246.795,-29.5,109.7,-1.673,0.008
246.895,-30.5,109.9,-1.74,0.003
246.994,-31.2,110.1,-1.803,0.003
247.094,-31.8,110.6,-1.861,0.003
247.194,-32.4,111,-1.914,0.003
247.293,-32.7,111.4,-1.963,0.003
247.393,-33,111.7,-2,0.003
247.493,-33.1,111.9,-2.023,0.005
247.592,-33.2,112.1,-2.04,0.003
247.692,-32.9,112.3,-2.049,0.005
247.792,-32.7,112.4,-2.052,0.008
247.891,-32.3,112.5,-2.052,0.005
247.991,-31.9,112.5,-2.047,0.005
248.091,-31.2,112.6,-2.041,0.003
248.19,-30.5,112.8,-2.027,0.002
248.29,-29.6,113,-2.008,0.003
248.39,-28.7,113.1,-1.983,0.003
248.489,-27.6,113.2,-1.948,0.003
248.589,-26.5,113.4,-1.913,0.002
248.689,-25.2,113.5,-1.868,0.003
248.788,-23.9,113.8,-1.82,0.008
248.888,-22.6,113.8,-1.764,0.003
248.988,-21,113.9,-1.699,0.003
249.087,-19.3,114,-1.63,0.003
249.187,-17.7,114.1,-1.553,0.003
249.287,-15.8,114.3,-1.469,0.003
249.386,-14,114.2,-1.379,0.005
249.486,-12.1,114.1,-1.274,0.005
249.586,-10.2,113.8,-1.159,0.003
249.685,-8.1,113.2,-1.029,0.003
249.785,-6,113.2,-0.894,0.006
249.885,-4,113.5,-0.765,0.003
